iteration,obj_of_RMP
1,43939.893299499614
2,43939.893299499614
3,43939.893299499614
4,43939.893299499614
5,43939.893299499614
6,43939.893299499614
7,43939.893299499614
8,43939.893299499614
9,43939.893299499614
10,43939.893299499614
11,43939.893299499614
12,43939.893299499614
13,43939.893299499614
14,43939.893299499614
15,43939.893299499614
16,43939.893299499614
17,43939.893299499614
18,43939.893299499614
19,43939.893299499614
20,43939.893299499614
21,43939.893299499614
22,43939.893299499614
23,43939.893299499614
24,43939.893299499614
25,43939.893299499614
26,43899.525845761826
27,43896.34542054927
28,43874.48470436427
29,43871.81570770783
30,43869.606816397725
31,43869.606816397725
32,43869.11768942931
33,43866.078990222755
34,43862.44872228947
35,43860.1824655007
36,43860.18233893044
37,43860.18233893044
38,43860.18233893044
39,43860.17763491952
40,43860.17763491952
41,43860.17763491952
42,43860.17763491952
43,43860.17763491952
44,43860.17763491952
45,43860.17763491952
46,43860.17763491952
47,43860.17763491952
48,43860.17763491952
